url,titleLink,title,paragraph,time,view,content_level,story_list
https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2025/01/22/2/31351617.jpg&s=Y&x=0&y=0&sw=1183&sh=789&exp=3600,/news/story/123006/8568977?from=udn-ch1_breaknews-1-0-news,台股ETF受益人數續創新高 市值型ETF最受歡迎,"根據最新一周集保戶股權分散統計資料顯示，台股ETF受益人數增加至1,041.7萬人續創新高，單周再增3,553人，其中，...",{'date': '2025-02-24 22:29'},8,開放閱讀,list_即時新聞
https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2025/02/24/realtime/31552140.jpg&s=Y&x=0&y=0&sw=5184&sh=3456&exp=3600,/news/story/6811/8568976?from=udn-ch1_breaknews-1-0-news,供給過剩...民主剛果暫停鈷出口 挽救價格崩跌,全球最大鈷礦出口國剛果民主共和國（DRC）當局宣布，自22日起暫停鈷出口，以挽救生產過剩造成的價格崩跌。,{'date': '2025-02-24 22:26'},19,開放閱讀,list_即時新聞
https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2025/02/20/realtime/31531576.jpg&s=Y&x=0&y=0&sw=1417&sh=945&exp=3600,/news/story/7333/8568962?from=udn-ch1_breaknews-1-0-news,大陸醫療保健等惠民支出僅GDP6% 英媒：低於許多金磚及新興國家,英國金融時報報導，中國政府用於一般民眾的醫療保健和社會保障等惠民支出，低於大多數收入水準相近的國家，僅占國內生產毛額（G...,{'date': '2025-02-24 22:16'},93,開放閱讀,list_即時新聞
https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2025/02/24/1/31552136.jpg&s=Y&x=48&y=0&sw=1231&sh=821&exp=3600,/news/story/124393/8568963?from=udn-ch1_breaknews-1-0-news,護理師淪「高級照顧員」引出走潮 專家：病護應互體諒,新冠疫情後台灣出現護理師出走潮，又逢最近急診室可利用住院床位不足，無疑是雪上加霜。有護理師指出，此行業離職率高的最關鍵點...,{'date': '2025-02-24 22:14'},152,開放閱讀,list_即時新聞
https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2025/02/20/2/31529781.jpg&s=Y&x=44&y=28&sw=1176&sh=784&exp=3600,/news/story/7239/8568955?from=udn-ch1_breaknews-1-0-news,獨家／金管會人事搬風 副主委邱淑貞3月退休、誰接任？,金管會人事再掀搬風。據透露，金管會副主委邱淑貞因個人因素，將在3月提前退休，此一異動也牽連了金管會會內、局處的人事異動，...,{'date': '2025-02-24 22:07'},280,開放閱讀,list_即時新聞
https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2025/02/24/realtime/31552116.jpg&s=Y&x=0&y=360&sw=2041&sh=1360&exp=3600,/news/story/7315/8568952?from=udn-ch1_breaknews-1-0-news,李威涉精舍命案轉列被告30萬交保 關鍵錄音維護王薀成鐵證,台北市一家精舍命案發生在去年7月凱米颱風夜，蔡女涉嫌由佛學作家王薀、師姐級護法、眾多信徒集體包圍下「體罰霸凌」，逼迫數小...,{'date': '2025-02-24 22:06'},733,開放閱讀,list_即時新聞
https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2025/02/24/realtime/31552103.jpg&s=Y&x=0&y=0&sw=5378&sh=3585&exp=3600,/news/story/7266/8568946?from=udn-ch1_breaknews-1-0-news,大富翁是你嗎？威力彩20億一人獨得！大獎開在這縣市,今（24日）晚開獎威力彩頭獎20.07億，一人獨得！20億元大獎由新北市樹林區中山路一段「金發野彩券行」開出，幸運兒一人...,{'date': '2025-02-24 22:00'},46186,開放閱讀,list_即時新聞
https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2025/02/24/realtime/31552028.jpg&s=Y&x=0&y=0&sw=4422&sh=2947&exp=3600,/news/story/7003/8568929?from=udn-ch1_breaknews-1-0-news,UBA／輔大不敵健行吞首敗 還傷外籍生凱德爾,113學年富邦人壽UBA公開男一級8強複賽同是連勝的健行科大和輔仁大學今天壓軸場正面交鋒，輔大除以59：80吞下8強首敗...,{'date': '2025-02-24 21:54'},52,開放閱讀,list_即時新聞
https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2025/02/24/realtime/31552017.jpg&s=Y&x=0&y=9&sw=1240&sh=826&exp=3600,/news/story/7241/8568926?from=udn-ch1_breaknews-1-0-news,彰化3／4法拍會 埔里黃金地段小店、竹山路地均便宜出清,法務部行政執行署彰化分署將於3月4日辦理「123拍賣會」，吸睛物件包括已4拍的南投縣埔里鎮黃金地段電影院所在大樓的3樓小...,{'date': '2025-02-24 21:49'},75,開放閱讀,list_即時新聞
https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2025/02/24/realtime/31552012.png&s=Y&x=158&y=0&sw=1593&sh=1062&exp=3600,/news/story/7321/8568924?from=udn-ch1_breaknews-1-0-news,桃園副市長至親被騙3500萬…行員勾結詐團？檢警搜索銀行帶人扣手機,桃園市副市長王明鉅至親王姓婦人，遭假檢警詐騙集團騙走3500萬元，檢警懷疑桃園市某銀行一名女性行員涉案，今搜索銀行傳喚行...,{'date': '2025-02-24 21:47'},485,開放閱讀,list_即時新聞
